address,X,Y,type,source
"Администрация муниципального образования Яр-Салинское, 6, улица Худи Сэроко, Яр-Сале",70.8414892,66.8596079,amenity townhall,Overpass API
"Управление строительства и архитектуры, 33А, улица Мира, Яр-Сале",70.8380332,66.8659797,office government,Overpass API
"Храм Блаженной Ксении Петербургской, 2, Советская улица, Яр-Сале",70.8448039,66.8585981,amenity place_of_worship,Overpass API
"Администрация МО Ямальский район, 12, улица Мира, Яр-Сале",70.8456577,66.860256,office government,Overpass API
"Центральная библиотека, 6А, улица Мира, Яр-Сале",70.8466432,66.8589243,amenity library,Overpass API
"Пенсионный фонд, 8, Советская улица, Яр-Сале",70.8437114,66.8598693,office government,Overpass API
"Дом Культуры, 8, улица Худи Сэроко, Яр-Сале",70.8409047,66.8600442,amenity community_centre,Overpass API
Яр-Салинская центральная районная больница,70.8404673,66.8593067,amenity hospital,Overpass API
"Почта России, 19, Советская улица, Яр-Сале",70.8410916,66.8613462,amenity post_office,Overpass API
"Стационар, 19, улица Худи Сэроко, Яр-Сале",70.8402076,66.8591705,amenity hospital,Overpass API
"Сбербанк, 14А, Советская улица, Яр-Сале",70.8420709,66.8616446,amenity bank,Overpass API
"Аптека, 13А, Советская улица, Яр-Сале",70.8423722,66.8603121,amenity pharmacy,Overpass API
Школа-интернат им. Василия Давыдова,70.8464413,66.8613294,amenity school,Overpass API
"Детский сад ""Солнышко"" (корпус-1)",70.8429739,66.8593081,amenity kindergarten,Overpass API
"Детский сад ""Солнышко"" (корпус-2)",70.8365676,66.868527,amenity kindergarten,Overpass API
"14, улица Худи Сэроко, Яр-Сале",70.839951,66.8614967,amenity school,Overpass API
Туберкулёзное отделение,70.8315109,66.8676962,amenity hospital,Overpass API
"11, улица Мира, Яр-Сале",70.8428353,66.861406,office government,Overpass API
"7, улица Мира, Яр-Сале",70.8435067,66.860952,amenity police,Overpass API
,70.8480283,66.8569634,amenity parking,Overpass API
,70.8343867,66.8690266,amenity parking,Overpass API
,70.8419764,66.8612879,amenity parking,Overpass API
,70.8453326,66.860128,amenity parking,Overpass API
,70.8411438,66.85954,amenity parking,Overpass API
,70.8395561,66.8664035,amenity parking,Overpass API
,70.8474948,66.8572082,amenity parking,Overpass API
,70.8334597,66.8688446,amenity parking,Overpass API
,70.8331356,66.8697068,amenity parking,Overpass API
,70.832233,66.8695237,amenity parking,Overpass API
